text,target
OPTIMA: Design-Space Exploration of Discharge-Based In-SRAM Computing: Quantifying Energy-Accuracy Trade-offs.,0
TraiNDSim: A Simulation Framework for Comprehensive Performance Evaluation of Neuromorphic Devices for On-Chip Training.,0
Partitioned Scheduling and Parallelism Assignment for Real-Time DNN Inference Tasks on Multi-TPU.,0
FHE-CGRA: Enable Efficient Acceleration of Fully Homomorphic Encryption on CGRAs.,0
4-Transistor Ternary Content Addressable Memory Cell Design using Stacked Hybrid IGZO/Si Transistors.,0
Ev-Edge: Efficient Execution of Event-based Vision Algorithms on Commodity Edge Platforms.,0
How accurately can soft error impact be estimated in black-box/white-box cases? - a case study with an edge AI SoC -.,0
Late Breaking Results: A real-time diffusion-based filter for human pose estimation on edge devices.,0
Late Breaking Results: Fast System Technology Co-Optimization Framework for Emerging Technology Based on Graph Neural Networks.,0
Late Breaking Results: Efficient Built-in Self-Test for Microfluidic Large-Scale Integration (mLSI).,0
Late Breaking Results: TriSC: Low-Cost Design of Trigonometric Functions with Quasi Stochastic Computing.,0
Late Breaking Results: Wiring Reduction for Field-coupled Nanotechnologies.,0
Late Breaking Results: Extracting QNNs from NISQ Computers via Ensemble Learning.,0
Late Breaking Results: Machine Learning Based Reference Ripple Error Suppression in Successive Approximation Register Analog-to-Digital Converters.,0
Late Breaking Results: Power Rail Routing for Advanced Multi-Layered Printed Circuit Boards.,0
Late Breaking Results: Modern Automatic PCB Placement with Complex Constraints.,0
Late Breaking Results: Circuit-Algorithm Co-design for Learnable Audio Analog Front-End.,0
Late Breaking Results: Routability-Driven FPGA Macro Placement Considering Complex Cascade Shape and Region Constraints.,0
Late Breaking Results: LLM-assisted Automated Incremental Proof Generation for Hardware Verification.,1
Late Breaking Results: Mixed-Cell-Height Detailed Placement under Multi-Cell Spacing Constraints.,0
Late Breaking Results: Language-level QoR modeling for High-Level Synthesis.,1
Late Breaking Results: Coulomb Force-Based Routability-Driven Placement Considering Global and Local Congestion.,0
Late Breaking Results: Majority-Inverter Graph Minimization by Design Space Exploration.,0
Late Breaking Result: AQFP-aware Binary Neural Network Architecture Search.,0
Late Breaking Results: On the One-Key Premise of Logic Locking.,0
Late Breaking Results: Differential and Massively Parallel Sampling of SAT Formulas.,0
Late Breaking Results: Evaluation of Human Action Quality with Linear Recurrent Units and Graph Attention Networks on Embedded Systems.,0
Invited: Neuromorphic Vision Modalities in the NimbleAI 3D Chip.,0
Invited: Neuromorphic Architectures Based on Augmented Silicon Photonics Platforms.,0
Invited: Leveraging Machine Learning for Quantum Compilation Optimization.,0
Invited: Graph Learning for Parameter Prediction of Quantum Approximate Optimization Algorithm.,0
Invited: Challenges and Opportunities of Quantum Optimization in Finance.,0
Invited: Conformal Inference meets Evidential Learning: Distribution-Free Uncertainty Quantification with Epistemic and Aleatoric Separability.,0
Invited: Human-Inspired Distributed Wearable AI.,0
Invited: Algorithm and Hardware Co-Design for Energy-Efficient Neural SLAM.,0
Invited: Using Causal Information to Enable More Efficient Robot Operation.,0
Invited: The Magnificent Seven Challenges and Opportunities in Domain-Specific Accelerator Design for Autonomous Systems.,0
Invited: Automatic Hardware/Software Design for High-Speed Autonomous Unmanned Aerial Vehicles Guided by a Flight Model.,0
"Invited: New Solutions on LLM Acceleration, Optimization, and Application.",1
Invited: Achieving PetaOps/W Edge-AI Processing.,0
